,Iteration,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R^2 Score,Test R^2 Score,Best Grid Mean Score,Best Grid Params,Pipeline,Note,Date
0,1,110769211.73037831,109990192.36908984,10524.695327199657,10487.620910820997,6550.341114966356,6542.026285329337,0.4720518449242478,0.4630876601211449,,,Transformers: log_ord_ohe -> Scaler: stand -> Model: linreg,Log. Ordinal. OHE. Linear Regression.,"Aug 28, 2023 09:18 PM PST"
1,2,112586311.13453615,109536664.67357346,10610.669683603206,10465.976527470977,6619.967289016056,6577.539256326621,0.4633911867591479,0.4653015358400131,,,Model: linreg,X2 top correlated features after OHE and Ordinal. Linear Regression.,"Aug 28, 2023 09:27 PM PST"
2,3,91234007.22474492,89786932.20996097,9551.649450474244,9475.596667754542,5749.968786223471,5735.069990493101,0.5651605257270036,0.5617089958200499,,,Transformers: ord_ohe_poly2 -> Scaler: stand -> Model: linreg,X. Ordinal. OHE. Poly2. Standard Scaler. Linear Regression.,"Aug 28, 2023 09:36 PM PST"
3,4,95274957.36446072,93217551.03309077,9760.889168741787,9654.923667905965,5897.82633842537,5865.665911603651,0.5459005514282882,0.544962579254306,,,Transformers: poly2 -> Scaler: stand -> Model: linreg,X2 top correlated features after OHE and Ordinal. Poly 2. Standard. Linear Regression.,"Aug 28, 2023 10:01 PM PST"
4,5,90228040.63596721,89085064.64215773,9498.844173685933,9438.48847232213,5725.125767793483,5716.812718939881,0.5699551631205221,0.5651351318236106,,,Transformers: ord_ohe_poly3 -> Scaler: stand -> Model: linreg,X. Ordinal. OHE. Poly3. Standard Scaler. Linear Regression.,"Aug 28, 2023 10:08 PM PST"
5,6,342459444808332.7,25671639015069.08,18505659.80472819,5066718.762184169,488792.50991220796,387735.6567665533,0.0014362081851538866,-0.020849064896141023,,,Transformers: ord_ohe_poly2 -> Scaler: stand -> Model: linreg,X3 with outliers. Ordinal. OHE. Poly2. Standard Scaler. Linear Regression.,"Aug 28, 2023 10:14 PM PST"
6,7,92406276.22342981,91000540.16614388,9612.818328847676,9539.420326526339,5747.62614774745,5736.066100717839,0.5595732578802788,0.5557848213694478,,,Transformers: ohe2_poly2 -> Scaler: stand -> Model: linreg,X4 no Paint/State. Manual Ordinal. OHE. Poly2. Standard Scaler. Linear Regression.,"Aug 28, 2023 10:28 PM PST"
7,8,91324878.33778219,90271236.21488407,9556.405094897464,9501.117629778302,5717.302551065462,5712.312944131448,0.5647274158788043,0.5593448868854696,,,Transformers: ohe2_poly3 -> Scaler: stand -> Model: linreg,X4 no Paint/State. Manual Ordinal. OHE. Poly3. Standard Scaler. Linear Regression.,"Aug 28, 2023 10:31 PM PST"
8,9,91466320.15857571,93509202.39607729,9563.802599310366,9670.01563577212,6553.687767110001,6583.530668452807,0.4935774142394337,0.48378500728359886,,,Transformers: ohe2 -> Model: linreg,"X5 Price < $100k, Odometer < 400k. Manual Ordinal. OHE. Linear Regression.","Aug 28, 2023 10:43 PM PST"
9,10,71682968.1866947,73580803.81481926,8466.579485642043,8577.925379415425,5478.241940345278,5536.670626311172,0.6031121177591756,0.5937991862614018,,,Transformers: ohe2_poly2 -> Scaler: stand -> Model: linreg,"X5 Price < $100k, Odometer < 400k. Manual Ordinal. OHE. Poly2. Standard Scaler. Linear Regression.","Aug 28, 2023 10:53 PM PST"
